controlId,title,family,description,subFamily
RSK-10,Data Protection Impact Assessment (DPIA),Risk Management,"Mechanisms exist to conduct a Data Protection Impact Assessment (DPIA) on Technology Assets, Applications and/or Services (TAAS) that store, process and/or transmit Personal Data (PD) to identify and remediate reasonably-expected risks.",Identify
RSK-11,Risk Monitoring,Risk Management,"Mechanisms exist to ensure risk monitoring as an integral part of the continuous monitoring strategy that includes monitoring the effectiveness of cybersecurity and data protection controls, compliance and change management.",Detect
RSK-12,Risk Culture,Risk Management,Mechanisms exist to ensure teams are committed to a culture that considers and communicates technology-related risk.,Identify
RSK-13,Executive Leadership Approval For Managing Material Risk,Risk Management,Mechanisms exist to obtain executive leadership approval for risk management decisions involving material risk.,Govern
RSK-13.1,Documented Alternatives,Risk Management,"Mechanisms exist to document alternative courses of action to ensure executive leadership is reasonably informed of options to manage material risks, including potential: (1) Benefits; (2) Drawbacks (including technical limitations); (3) Costs; and (4) Timelines.",Govern
RSK-13.2,Documented Justification For Material Risk Management Decisions,Risk Management,Mechanisms exist to document executive leadership justification for selecting a specific course of action to manage material risk.,Govern
SEA-01,Secure Engineering Principles,Secure Engineering & Architecture,"Mechanisms exist to facilitate the implementation of industry-recognized cybersecurity and data protection practices in the specification, design, development, implementation and modification of Technology Assets, Applications and/or Services (TAAS).",Govern
SEA-01.1,Centralized Management of Cybersecurity & Data Protection Controls,Secure Engineering & Architecture,Mechanisms exist to centrally-manage the organization-wide management and implementation of cybersecurity and data protection controls and related processes.,Protect
SEA-01.2,Achieving Resilience Requirements,Secure Engineering & Architecture,Mechanisms exist to achieve resilience requirements in normal and adverse situations.,Protect
SEA-01.3,Resilience Capabilities,Secure Engineering & Architecture,Mechanisms exist to ensure cybersecurity and data protection controls are designed and implemented to provide resistance to: (1) Unintentional errors (by users or software); and (2) Intentional attack or circumvention.,Protect
SEA-02,Alignment With Enterprise Architecture,Secure Engineering & Architecture,"Mechanisms exist to develop an enterprise architecture, aligned with industry-recognized leading practices, with consideration for cybersecurity and data protection principles that addresses risk to organizational operations, assets, individuals and other organizations.",Protect
SEA-02.1,Standardized Terminology,Secure Engineering & Architecture,Mechanisms exist to standardize technology and process terminology to reduce confusion amongst groups and departments.,Protect
SEA-02.2,Outsourcing Non-Essential Functions or Services,Secure Engineering & Architecture,Mechanisms exist to identify non-essential functions or services that are capable of being outsourced to external service providers and align with the organization's enterprise architecture and security standards.,Protect
SEA-02.3,Technical Debt Reviews,Secure Engineering & Architecture,Mechanisms exist to conduct ongoing “technical debt” reviews of hardware and software technologies to remediate outdated and/or unsupported technologies.,Protect
SEA-03,Defense-In-Depth (DiD) Architecture,Secure Engineering & Architecture,Mechanisms exist to implement security functions as a layered structure minimizing interactions between layers of the design and avoiding any dependence by lower layers on the functionality or correctness of higher layers.,Protect
SEA-03.1,System Partitioning,Secure Engineering & Architecture,Mechanisms exist to partition systems so that partitions reside in separate physical domains or environments.,Protect
SEA-03.2,Application Partitioning,Secure Engineering & Architecture,Mechanisms exist to separate user functionality from system management functionality.,Protect
